,Region/Country/Area,Year,Data,Enrollments (Thousands)
0,"Total, all countries or areas",2005,Students enrolled in primary education (thousands),"678,990"
1,"Total, all countries or areas",2005,Gross enrollement ratio - Primary (male),104.8
2,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.8
3,"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),"509,100"
4,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (male),65.7
5,"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (female),62.1
6,"Total, all countries or areas",2005,Students enrolled in tertiary education (thousands),"139,648"
7,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (male),23.7
8,"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (female),24.8
9,"Total, all countries or areas",2010,Students enrolled in primary education (thousands),"697,101"
10,"Total, all countries or areas",2010,Gross enrollement ratio - Primary (male),105.9
11,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),103.0
12,"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),"546,263"
13,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (male),72.4
14,"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (female),69.8
15,"Total, all countries or areas",2010,Students enrolled in tertiary education (thousands),"181,506"
16,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (male),28.3
17,"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (female),30.4
18,"Total, all countries or areas",2014,Students enrolled in primary education (thousands),"716,242"
19,"Total, all countries or areas",2014,Gross enrollement ratio - Primary (male),103.3
20,"Total, all countries or areas",2014,Gross enrollment ratio - Primary (female),102.7
21,"Total, all countries or areas",2014,Students enrolled in secondary education (thousands),"579,906"
22,"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (male),76.7
23,"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (female),75.7
24,"Total, all countries or areas",2014,Students enrolled in tertiary education (thousands),"211,455"
25,"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (male),33.5
26,"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (female),37.2
27,"Total, all countries or areas",2015,Students enrolled in primary education (thousands),"723,319"
28,"Total, all countries or areas",2015,Gross enrollement ratio - Primary (male),103.1
29,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.8
30,"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),"581,620"
31,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),76.8
32,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),75.7
33,"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),"214,083"
34,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (male),34.2
35,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (female),38.1
36,"Total, all countries or areas",2016,Students enrolled in primary education (thousands),"740,231"
37,"Total, all countries or areas",2016,Gross enrollement ratio - Primary (male),104.1
38,"Total, all countries or areas",2016,Gross enrollment ratio - Primary (female),104.6
39,"Total, all countries or areas",2016,Students enrolled in secondary education (thousands),"585,517"
40,"Total, all countries or areas",2016,Gross enrollment ratio - Secondary (male),76.9
41,"Total, all countries or areas",2016,Gross enrollment ratio - Secondary (female),75.9
42,"Total, all countries or areas",2016,Students enrolled in tertiary education (thousands),"215,945"
43,"Total, all countries or areas",2016,Gross enrollment ratio - Tertiary (male),34.7
44,"Total, all countries or areas",2016,Gross enrollment ratio - Tertiary (female),39.0
45,Northern Africa,2005,Students enrolled in primary education (thousands),"23,023"
46,Northern Africa,2005,Gross enrollement ratio - Primary (male),97.5
47,Northern Africa,2005,Gross enrollment ratio - Primary (female),90.3
48,Northern Africa,2005,Students enrolled in secondary education (thousands),"16,909"
49,Northern Africa,2005,Gross enrollment ratio - Secondary (male),68.7
50,Northern Africa,2005,Gross enrollment ratio - Secondary (female),67.8
51,Northern Africa,2005,Students enrolled in tertiary education (thousands),"4,586"
52,Northern Africa,2005,Gross enrollment ratio - Tertiary (male),23.8
53,Northern Africa,2005,Gross enrollment ratio - Tertiary (female),23.0
54,Northern Africa,2010,Students enrolled in primary education (thousands),"23,598"
55,Northern Africa,2010,Gross enrollement ratio - Primary (male),101.4
56,Northern Africa,2010,Gross enrollment ratio - Primary (female),96.0
57,Northern Africa,2010,Students enrolled in secondary education (thousands),"17,399"
58,Northern Africa,2010,Gross enrollment ratio - Secondary (male),72.2
59,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.4
60,Northern Africa,2010,Students enrolled in tertiary education (thousands),"5,515"
61,Northern Africa,2010,Gross enrollment ratio - Tertiary (male),25.8
62,Northern Africa,2010,Gross enrollment ratio - Tertiary (female),27.7
63,Northern Africa,2014,Students enrolled in primary education (thousands),"25,169"
64,Northern Africa,2014,Gross enrollement ratio - Primary (male),100.3
65,Northern Africa,2014,Gross enrollment ratio - Primary (female),96.7
66,Northern Africa,2014,Students enrolled in secondary education (thousands),"18,464"
67,Northern Africa,2014,Gross enrollment ratio - Secondary (male),77.9
68,Northern Africa,2014,Gross enrollment ratio - Secondary (female),77.2
69,Northern Africa,2014,Students enrolled in tertiary education (thousands),"5,884"
70,Northern Africa,2014,Gross enrollment ratio - Tertiary (male),28.0
71,Northern Africa,2014,Gross enrollment ratio - Tertiary (female),30.2
72,Northern Africa,2015,Students enrolled in primary education (thousands),"25,787"
73,Northern Africa,2015,Gross enrollement ratio - Primary (male),100.7
74,Northern Africa,2015,Gross enrollment ratio - Primary (female),97.2
75,Northern Africa,2015,Students enrolled in secondary education (thousands),"18,689"
76,Northern Africa,2015,Gross enrollment ratio - Secondary (male),78.5
77,Northern Africa,2015,Gross enrollment ratio - Secondary (female),77.8
78,Northern Africa,2015,Students enrolled in tertiary education (thousands),"6,332"
79,Northern Africa,2015,Gross enrollment ratio - Tertiary (male),30.1
80,Northern Africa,2015,Gross enrollment ratio - Tertiary (female),33.3
81,Northern Africa,2016,Students enrolled in primary education (thousands),"26,477"
82,Northern Africa,2016,Gross enrollement ratio - Primary (male),101.1
83,Northern Africa,2016,Gross enrollment ratio - Primary (female),97.7
84,Northern Africa,2016,Students enrolled in secondary education (thousands),"19,049"
85,Northern Africa,2016,Gross enrollment ratio - Secondary (male),79.3
86,Northern Africa,2016,Gross enrollment ratio - Secondary (female),78.4
87,Northern Africa,2016,Students enrolled in tertiary education (thousands),"6,471"
88,Northern Africa,2016,Gross enrollment ratio - Tertiary (male),30.5
89,Northern Africa,2016,Gross enrollment ratio - Tertiary (female),35.2
90,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),"113,402"
91,Sub-Saharan Africa,2005,Gross enrollement ratio - Primary (male),99.9
92,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (female),88.1
93,Sub-Saharan Africa,2005,Students enrolled in secondary education (thousands),"32,003"
94,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (male),35.6
95,Sub-Saharan Africa,2005,Gross enrollment ratio - Secondary (female),27.8
96,Sub-Saharan Africa,2005,Students enrolled in tertiary education (thousands),"4,075"
97,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (male),7.0
98,Sub-Saharan Africa,2005,Gross enrollment ratio - Tertiary (female),4.7
99,Sub-Saharan Africa,2010,Students enrolled in primary education (thousands),"135,891"
100,Sub-Saharan Africa,2010,Gross enrollement ratio - Primary (male),100.8
101,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (female),93.3
102,Sub-Saharan Africa,2010,Students enrolled in secondary education (thousands),"44,900"
103,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (male),43.3
104,Sub-Saharan Africa,2010,Gross enrollment ratio - Secondary (female),35.5
105,Sub-Saharan Africa,2010,Students enrolled in tertiary education (thousands),"5,820"
106,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (male),8.9
107,Sub-Saharan Africa,2010,Gross enrollment ratio - Tertiary (female),5.9
108,Sub-Saharan Africa,2014,Students enrolled in primary education (thousands),"153,640"
109,Sub-Saharan Africa,2014,Gross enrollement ratio - Primary (male),101.6
110,Sub-Saharan Africa,2014,Gross enrollment ratio - Primary (female),95.4
111,Sub-Saharan Africa,2014,Students enrolled in secondary education (thousands),"53,961"
112,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (male),45.2
113,Sub-Saharan Africa,2014,Gross enrollment ratio - Secondary (female),39.0
114,Sub-Saharan Africa,2014,Students enrolled in tertiary education (thousands),"7,277"
115,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (male),9.9
116,Sub-Saharan Africa,2014,Gross enrollment ratio - Tertiary (female),6.9
117,Sub-Saharan Africa,2015,Students enrolled in primary education (thousands),"156,980"
118,Sub-Saharan Africa,2015,Gross enrollement ratio - Primary (male),100.9
119,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (female),95.3
120,Sub-Saharan Africa,2015,Students enrolled in secondary education (thousands),"55,914"
121,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (male),45.5
122,Sub-Saharan Africa,2015,Gross enrollment ratio - Secondary (female),39.2
123,Sub-Saharan Africa,2015,Students enrolled in tertiary education (thousands),"7,417"
124,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (male),9.9
125,Sub-Saharan Africa,2015,Gross enrollment ratio - Tertiary (female),7.0
126,Sub-Saharan Africa,2016,Students enrolled in primary education (thousands),"160,987"
127,Sub-Saharan Africa,2016,Gross enrollement ratio - Primary (male),100.8
128,Sub-Saharan Africa,2016,Gross enrollment ratio - Primary (female),95.5
129,Sub-Saharan Africa,2016,Students enrolled in secondary education (thousands),"57,726"
130,Sub-Saharan Africa,2016,Gross enrollment ratio - Secondary (male),45.6
131,Sub-Saharan Africa,2016,Gross enrollment ratio - Secondary (female),39.4
132,Sub-Saharan Africa,2016,Students enrolled in tertiary education (thousands),"7,429"
133,Sub-Saharan Africa,2016,Gross enrollment ratio - Tertiary (male),9.9
134,Sub-Saharan Africa,2016,Gross enrollment ratio - Tertiary (female),7.0
135,Northern America,2005,Students enrolled in primary education (thousands),"26,780"
136,Northern America,2005,Gross enrollement ratio - Primary (male),99.0
137,Northern America,2005,Gross enrollment ratio - Primary (female),98.0
138,Northern America,2005,Students enrolled in secondary education (thousands),"27,039"
139,Northern America,2005,Gross enrollment ratio - Secondary (male),94.3
140,Northern America,2005,Gross enrollment ratio - Secondary (female),95.9
141,Northern America,2005,Students enrolled in tertiary education (thousands),"18,573"
142,Northern America,2005,Gross enrollment ratio - Tertiary (male),67.8
143,Northern America,2005,Gross enrollment ratio - Tertiary (female),95.0
144,Northern America,2010,Students enrolled in primary education (thousands),"26,565"
145,Northern America,2010,Gross enrollement ratio - Primary (male),99.9
146,Northern America,2010,Gross enrollment ratio - Primary (female),99.1
147,Northern America,2010,Students enrolled in secondary education (thousands),"26,809"
148,Northern America,2010,Gross enrollment ratio - Secondary (male),93.5
149,Northern America,2010,Gross enrollment ratio - Secondary (female),94.3
150,Northern America,2010,Students enrolled in tertiary education (thousands),"21,799"
151,Northern America,2010,Gross enrollment ratio - Tertiary (male),75.7
152,Northern America,2010,Gross enrollment ratio - Tertiary (female),105.4
153,Northern America,2014,Students enrolled in primary education (thousands),"26,792"
154,Northern America,2014,Gross enrollement ratio - Primary (male),98.9
155,Northern America,2014,Gross enrollment ratio - Primary (female),98.8
156,Northern America,2014,Students enrolled in secondary education (thousands),"26,895"
157,Northern America,2014,Gross enrollment ratio - Secondary (male),96.6
158,Northern America,2014,Gross enrollment ratio - Secondary (female),97.6
159,Northern America,2014,Students enrolled in tertiary education (thousands),"21,116"
160,Northern America,2014,Gross enrollment ratio - Tertiary (male),72.0
161,Northern America,2014,Gross enrollment ratio - Tertiary (female),97.2
162,Northern America,2015,Students enrolled in primary education (thousands),"27,094"
163,Northern America,2015,Gross enrollement ratio - Primary (male),99.4
164,Northern America,2015,Gross enrollment ratio - Primary (female),99.7
165,Northern America,2015,Students enrolled in secondary education (thousands),"27,063"
166,Northern America,2015,Gross enrollment ratio - Secondary (male),97.9
167,Northern America,2015,Gross enrollment ratio - Secondary (female),98.9
168,Northern America,2015,Students enrolled in tertiary education (thousands),"20,950"
169,Northern America,2015,Gross enrollment ratio - Tertiary (male),71.7
170,Northern America,2015,Gross enrollment ratio - Tertiary (female),96.4
171,Northern America,2016,Students enrolled in primary education (thousands),"27,177"
172,Northern America,2016,Gross enrollement ratio - Primary (male),99.3
173,Northern America,2016,Gross enrollment ratio - Primary (female),99.6
174,Northern America,2016,Students enrolled in secondary education (thousands),"26,953"
175,Northern America,2016,Gross enrollment ratio - Secondary (male),98.0
176,Northern America,2016,Gross enrollment ratio - Secondary (female),99.1
177,Northern America,2016,Students enrolled in tertiary education (thousands),"20,939"
178,Northern America,2016,Gross enrollment ratio - Tertiary (male),71.7
179,Northern America,2016,Gross enrollment ratio - Tertiary (female),96.5
180,Latin America & the Caribbean,2005,Students enrolled in primary education (thousands),"69,066"
181,Latin America & the Caribbean,2005,Gross enrollement ratio - Primary (male),117.5
182,Latin America & the Caribbean,2005,Gross enrollment ratio - Primary (female),114.0
183,Latin America & the Caribbean,2005,Students enrolled in secondary education (thousands),"58,887"
184,Latin America & the Caribbean,2005,Gross enrollment ratio - Secondary (male),83.5
185,Latin America & the Caribbean,2005,Gross enrollment ratio - Secondary (female),90.3
186,Latin America & the Caribbean,2005,Students enrolled in tertiary education (thousands),"16,088"
187,Latin America & the Caribbean,2005,Gross enrollment ratio - Tertiary (male),27.6
188,Latin America & the Caribbean,2005,Gross enrollment ratio - Tertiary (female),33.8
189,Latin America & the Caribbean,2010,Students enrolled in primary education (thousands),"67,190"
190,Latin America & the Caribbean,2010,Gross enrollement ratio - Primary (male),115.4
191,Latin America & the Caribbean,2010,Gross enrollment ratio - Primary (female),111.9
192,Latin America & the Caribbean,2010,Students enrolled in secondary education (thousands),"61,100"
193,Latin America & the Caribbean,2010,Gross enrollment ratio - Secondary (male),85.7
194,Latin America & the Caribbean,2010,Gross enrollment ratio - Secondary (female),92.8
195,Latin America & the Caribbean,2010,Students enrolled in tertiary education (thousands),"21,646"
196,Latin America & the Caribbean,2010,Gross enrollment ratio - Tertiary (male),34.7
197,Latin America & the Caribbean,2010,Gross enrollment ratio - Tertiary (female),45.3
198,Latin America & the Caribbean,2014,Students enrolled in primary education (thousands),"65,327"
199,Latin America & the Caribbean,2014,Gross enrollement ratio - Primary (male),109.3
200,Latin America & the Caribbean,2014,Gross enrollment ratio - Primary (female),107.3
201,Latin America & the Caribbean,2014,Students enrolled in secondary education (thousands),"64,190"
202,Latin America & the Caribbean,2014,Gross enrollment ratio - Secondary (male),91.5
203,Latin America & the Caribbean,2014,Gross enrollment ratio - Secondary (female),97.2
204,Latin America & the Caribbean,2014,Students enrolled in tertiary education (thousands),"24,700"
205,Latin America & the Caribbean,2014,Gross enrollment ratio - Tertiary (male),39.7
206,Latin America & the Caribbean,2014,Gross enrollment ratio - Tertiary (female),51.9
207,Latin America & the Caribbean,2015,Students enrolled in primary education (thousands),"65,407"
208,Latin America & the Caribbean,2015,Gross enrollement ratio - Primary (male),109.8
209,Latin America & the Caribbean,2015,Gross enrollment ratio - Primary (female),108.2
210,Latin America & the Caribbean,2015,Students enrolled in secondary education (thousands),"64,041"
211,Latin America & the Caribbean,2015,Gross enrollment ratio - Secondary (male),91.8
212,Latin America & the Caribbean,2015,Gross enrollment ratio - Secondary (female),96.8
213,Latin America & the Caribbean,2015,Students enrolled in tertiary education (thousands),"25,312"
214,Latin America & the Caribbean,2015,Gross enrollment ratio - Tertiary (male),40.4
215,Latin America & the Caribbean,2015,Gross enrollment ratio - Tertiary (female),53.4
216,Latin America & the Caribbean,2016,Students enrolled in primary education (thousands),"65,494"
217,Latin America & the Caribbean,2016,Gross enrollement ratio - Primary (male),109.6
218,Latin America & the Caribbean,2016,Gross enrollment ratio - Primary (female),107.7
219,Latin America & the Caribbean,2016,Students enrolled in secondary education (thousands),"63,892"
220,Latin America & the Caribbean,2016,Gross enrollment ratio - Secondary (male),92.1
221,Latin America & the Caribbean,2016,Gross enrollment ratio - Secondary (female),97.2
222,Latin America & the Caribbean,2016,Students enrolled in tertiary education (thousands),"26,170"
223,Latin America & the Caribbean,2016,Gross enrollment ratio - Tertiary (male),41.9
224,Latin America & the Caribbean,2016,Gross enrollment ratio - Tertiary (female),55.1
225,Eastern Asia,2005,Students enrolled in primary education (thousands),"126,355"
226,Eastern Asia,2005,Gross enrollement ratio - Primary (male),104.7
227,Eastern Asia,2005,Gross enrollment ratio - Primary (female),104.6
228,Eastern Asia,2005,Students enrolled in secondary education (thousands),"115,443"
229,Eastern Asia,2005,Gross enrollment ratio - Secondary (male),69.9
230,Eastern Asia,2005,Gross enrollment ratio - Secondary (female),68.7
231,Eastern Asia,2005,Students enrolled in tertiary education (thousands),"28,737"
232,Eastern Asia,2005,Gross enrollment ratio - Tertiary (male),25.1
233,Eastern Asia,2005,Gross enrollment ratio - Tertiary (female),21.6
234,Eastern Asia,2010,Students enrolled in primary education (thousands),"113,547"
235,Eastern Asia,2010,Gross enrollement ratio - Primary (male),107.4
236,Eastern Asia,2010,Gross enrollment ratio - Primary (female),105.9
237,Eastern Asia,2010,Students enrolled in secondary education (thousands),"113,719"
238,Eastern Asia,2010,Gross enrollment ratio - Secondary (male),89.3
239,Eastern Asia,2010,Gross enrollment ratio - Secondary (female),89.2
240,Eastern Asia,2010,Students enrolled in tertiary education (thousands),"39,209"
241,Eastern Asia,2010,Gross enrollment ratio - Tertiary (male),27.6
242,Eastern Asia,2010,Gross enrollment ratio - Tertiary (female),27.7
243,Eastern Asia,2014,Students enrolled in primary education (thousands),"106,629"
244,Eastern Asia,2014,Gross enrollement ratio - Primary (male),98.8
245,Eastern Asia,2014,Gross enrollment ratio - Primary (female),98.9
246,Eastern Asia,2014,Students enrolled in secondary education (thousands),"102,449"
247,Eastern Asia,2014,Gross enrollment ratio - Secondary (male),91.9
248,Eastern Asia,2014,Gross enrollment ratio - Secondary (female),93.8
249,Eastern Asia,2014,Students enrolled in tertiary education (thousands),"50,191"
250,Eastern Asia,2014,Gross enrollment ratio - Tertiary (male),41.9
251,Eastern Asia,2014,Gross enrollment ratio - Tertiary (female),46.3
252,Eastern Asia,2015,Students enrolled in primary education (thousands),"107,284"
